char_count,word_count,token_count
15716,2654,3527
10351,1851,2254
73781,12661,15235
52326,8990,11208
86752,14780,20223
17743,3136,3890
27454,4670,6127
11413,2037,2459
23821,4095,5245
31884,5416,6438
8885,1566,1890
21669,3752,4469
63928,10984,13435
35923,6026,7368
29967,5160,6270
22204,3918,4899
8255,1398,1673
16987,2870,3640
16013,2780,3358
27384,4752,6166
32375,5641,6697
29855,5209,6412
22668,3870,4599
17227,3078,3855
17281,2957,3667
6668,1110,1372
26700,4495,5497
35511,6097,7377
6575,1161,1434
35315,6122,7591
16487,2876,3490
26690,4692,5823
8671,1562,1821
23418,4287,4955
27373,5004,6168
24317,4224,5078
18985,3342,4335
88977,14998,19911
41783,7397,9148
26054,4668,5939
23365,4104,5333
25157,4398,5547
32882,5849,7178
10417,1852,2348
26274,4546,5654
22919,3977,4985
6393,1137,1429
35907,6409,8385
127882,21682,26227
27435,4728,6031
39429,6873,8118
15989,2788,3673
32634,5687,7113
10376,1784,2204
19259,3393,4083
13851,2482,3117
31981,5554,6708
21018,3696,4458
10372,1781,2200
35545,6186,7502
35632,5953,7162
44108,7746,9565
14975,2724,3371
22471,3813,4770
11151,1965,2395
21272,3733,4534
69024,11706,14332
30249,5199,6359
22470,3718,4636
23665,4063,4938
27503,4889,5977
26254,4535,5653
16615,2853,3749
15733,2740,3222
29352,5220,6623
39485,6819,8291
15100,2597,3215
13519,2371,2957
67373,11374,14078
17431,3119,4154
18994,3357,4197
18885,3341,4127
76903,13587,16650
24865,4251,5561
19209,3381,4171
26654,4716,5659
72302,12355,15388
52951,9385,11501
187340,31823,38837
12680,2211,2762
27173,4627,5787
12631,2188,2512
72797,12934,14871
29691,5221,6026
32029,5451,7047
15385,2676,3392
15099,2731,3293
25853,4475,5620
18674,3274,4011
39844,6823,8770
17185,3015,3778
12779,2215,2792
8168,1416,1733
25030,4266,5066
13921,2337,2777
8243,1426,1720
22079,3758,4570
137637,23272,28654
11054,1909,2380
12754,2241,2785
20121,3363,4465
9376,1634,2082
22112,3751,4604
14403,2499,3219
30038,5171,6490
21786,3879,4567
21115,3720,4617
31632,5565,6868
14198,2519,3251
16281,2985,3769
111899,19581,23794
4244,725,921
14427,2594,3092
131504,23388,28544
16958,2875,3741
314722,52572,63359
19874,3421,4027
14496,2523,3135
33815,5873,7323
24578,4275,5084
18172,3142,3888
10922,1923,2384
24238,4359,5401
26741,4481,5317
27238,4583,5670
25127,4424,5393
64625,11004,12753
22659,4048,4700
40077,6792,8148
4749,823,1167
10075,1736,2175
24327,4233,5153
12397,2171,2704
87494,15417,19141
7925,1415,1728
17738,3062,3837
20866,3674,4421
23094,4051,4919
16319,2811,3431
17448,3014,3783
11336,1963,2403
13167,2206,2794
29184,4962,6056
4008,687,846
31951,5490,7035
23618,4247,5336
22871,3881,4882
20391,3617,4405
59775,10346,13402
16003,2814,3536
19105,3284,3926
34021,5899,6932
48528,8381,9994
114961,19641,24755
65370,11225,13854
11628,2043,2556
8808,1536,1889
23173,4067,5217
10056,1864,2187
22573,4032,4863
43028,7522,9408
